Id  country  name  lat  lng
774  PL  Jasienica  52.41415  21.4115
775  PL  Jasieniec  51.82104  20.94099
776  PL  Hornowek  52.28638  20.80793
777  PL  Horodlo  50.89459  24.03723
778  PL  Horyniec-Zdroj  50.19152  23.36277
779  PL  Hrubieszow  50.80502  23.89251
780  PL  Humniska  49.67507  22.05368
781  PL  Husow  49.97971  22.28645
782  PL  Hyzne  49.91769  22.18131
783  PL  Ilow  52.33953  20.0273
784  PL  Harasiuki  50.47515  22.47288
785  PL  Ilza  51.16313  21.23979
786  PL  Inowlodz  51.52717  20.223
787  PL  Iwaniska  50.73146  21.2806
788  PL  Iwierzyce  50.02958  21.75396
789  PL  Iwkowa  49.81716  20.59018
790  PL  Iwonicz-Zdroj  49.56319  21.78992
791  PL  Izbica  50.88728  23.15248
792  PL  Jablon  51.72501  23.08743
793  PL  Jablonica Polska  49.69784  21.89961
794  PL  Imielno  50.58569  20.44813
795  PL  Jasienica Rosielna  49.75144  21.94176
796  PL  Hansk  51.41286  23.39942
797  PL  Jadowniki Mokre  50.16546  20.72845
798  PL  Jasionow  49.65841  21.97678
799  PL  Jasliska  49.44229  21.80795
800  PL  Jaslo  49.74506  21.47252
801  PL  Jastkow  51.30411  22.43546
802  PL  Jastrzab  51.24725  20.94758
803  PL  Jastrzebia  49.79733  20.88089
804  PL  Jastrzebia  51.49742  21.23709
805  PL  Jawornik  49.8464  21.89404
806  PL  Handzlowka  49.99527  22.22311
807  PL  Jawornik Polski  49.89082  22.28868
808  PL  Jedlinsk  51.514  21.11577
809  PL  Jedlnia-Letnisko  51.43074  21.33536
810  PL  Jednorozec  53.14116  21.05161
811  PL  Jedrzejow  50.63945  20.30454
812  PL  Jedwabne  53.28554  22.30353
813  PL  Jakubowice Murowane  51.26992  22.63415
814  PL  Jedwabno  53.5299  20.72657
815  PL  Jakubow  52.21965  21.68032
816  PL  Jedlicze  49.71749  21.64886
817  PL  Jablonka  49.69417  22.11565
818  PL  Telatyn  50.52712  23.83956
819  PL  Terespol  52.0755  23.61614
820  PL  Stawiski  53.37987  22.15462
821  PL  Stawiguda  53.6572  20.40041
822  PL  Staszow  50.56307  21.16593
823  PL  Sokolka  53.40715  23.50228
824  PL  Sokolniki  50.63803  21.80649
825  PL  Sokolow Malopolski  50.22909  22.11968
826  PL  Sokolow Podlaski  52.40677  22.25307
827  PL  Sokoly  52.99314  22.7005
828  PL  Sterdyn  52.58026  22.29358
829  PL  Solec Nad Wisla  51.13633  21.76563
830  PL  Sonina  50.06089  22.26551
831  PL  Sonsk  52.78164  20.69901
832  PL  Sosnica  49.90083  22.87469
833  PL  Sosnowica  51.52065  23.09215
834  PL  Sosnowka  51.75084  23.33814
835  PL  Spiczyn  51.34128  22.75354
836  PL  swietajno  53.56692  21.21546
837  PL  srodmiescie  52.22904  21.01644
838  PL  Solec-Zdroj  50.36594  20.88956
839  PL  Stalowa Wola  50.58286  22.05334
840  PL  swidnik  51.21898  22.69621
841  PL  Susiec  50.41973  23.19626
842  PL  Straszydle  49.90038  21.98124
843  PL  Strawczyn  50.94177  20.42135
844  PL  Stromiec  51.647  21.09229
845  PL  Strzegowo  52.89394  20.28548
846  PL  Strzyzow  49.87074  21.79413
847  PL  Strzyzowice  51.0483  22.44018
848  PL  Stubno  49.89806  22.95602
849  PL  Stupsk  53.02258  20.4368
850  PL  Suwalki  54.11175  22.93087
851  PL  Sucha  51.61999  20.94887
852  PL  Suchowola  53.57753  23.10596
853  PL  Suchozebry  52.25948  22.25289
854  PL  Sulejowek  52.25221  21.26902
855  PL  Sulkowice  51.9231  21.08929
856  PL  Sulow  50.77099  22.95593
857  PL  Sulow  50.90661  22.36061
858  PL  Suprasl  53.20526  23.33934
859  PL  Suraz  52.94908  22.95653
860  PL  Suchedniow  51.04776  20.82922
861  PL  Teresin  52.19887  20.41672
862  PL  Stanislawice  49.9855  20.35123
863  PL  Stanislawow Pierwszy  52.37485  21.05184
864  PL  Troszyn  53.03115  21.73083
865  PL  Truskaw  52.30124  20.78244
866  PL  Tryncza  50.16087  22.55008
867  PL  Trzciana  49.84485  20.37415
868  PL  Trzciana  50.0719  21.8385
869  PL  Trzciana  50.30771  21.33725
870  PL  Trzcinica  49.74301  21.4175
871  PL  Trzebieszow  51.99006  22.55502
872  PL  Trojanow  51.69225  21.81112
873  PL  Trzebownisko  50.07829  22.03712
874  PL  Trzydnik Duzy  50.84887  22.13359
875  PL  Tuchow  49.89485  21.05407
876  PL  Tuczepy  50.51676  20.99187
877  PL  Tuczna  51.88029  23.4252
878  PL  Turobin  50.82367  22.74273
879  PL  Turosn Koscielna  53.01463  23.05532
880  PL  Turze Pole  49.66329  22.00476
881  PL  Tyczyn  49.96384  22.03398
882  PL  Trzemesnia  49.82752  20.02207
